ROW  COL  TYPE              TOKEN/ERROR MESSAGE
14   17   delimiter         ;                 
15   5    identifier        C                 
15   6    delimiter         .                 
15   7    identifier        R                 
15   9    operator          :=                
15   12   real              0.0               
15   15   delimiter         ;                 
16   5    identifier        C                 
16   6    delimiter         .                 
16   7    identifier        I                 
16   9    operator          :=                
16   12   real              1.0               
16   15   delimiter         ;                 
17   5    identifier        P                 
17   6    delimiter         .                 
17   7    identifier        SECOND            
17   14   operator          :=                
17   17   identifier        C                 
17   18   delimiter         ;                 
18   5    identifier        C                 
18   7    operator          :=                
18   10   identifier        P                 
18   11   delimiter         .                 
18   12   identifier        FIRST             
18   17   delimiter         ;                 
19   5    reserved keyword  WRITE             
19   11   delimiter         (                 
19   12   string            "The first complex number should be (1.0, 0.0):"
19   60   delimiter         )                 
19   61   delimiter         ;                 
20   5    identifier        PRINT             
20   10   delimiter         (                 
20   11   delimiter         )                 
20   12   delimiter         ;                 
21   5    identifier        C                 
21   7    operator          :=                
21   10   identifier        P                 
21   11   delimiter         .                 
21   12   identifier        SECOND            
21   18   delimiter         ;                 
22   5    reserved keyword  WRITE             
22   11   delimiter         (                 
22   12   string            "The second complex number should be (0.0, 1.0):"
22   61   delimiter         )                 
22   62   delimiter         ;                 
23   5    identifier        PRINT             
23   10   delimiter         (                 
23   11   delimiter         )                 
23   12   delimiter         ;                 
24   5    reserved keyword  IF                
24   8    identifier        P                 
24   9    delimiter         .                 
24   10   identifier        FIRST             
24   15   delimiter         .                 
24   16   identifier        R                 
24   18   operator          <>                
24   21   identifier        P                 
24   22   delimiter         .                 
24   23   identifier        SECOND            
24   29   delimiter         .                 
24   30   identifier        R                 
24   32   reserved keyword  THEN              
25   2    reserved keyword  WRITE             
25   8    delimiter         (                 
25   9    string            "and these two complex numbers are not equal!"
25   55   delimiter         )                 
25   56   delimiter         ;                 
26   5    reserved keyword  ELSIF             
26   11   identifier        P                 
26   12   delimiter         .                 
26   13   identifier        FIRST             
26   18   delimiter         .                 
26   19   identifier        I                 
26   21   operator          <>                
26   24   identifier        P                 
26   25   delimiter         .                 
26   26   identifier        SECOND            
26   32   delimiter         .                 
26   33   identifier        I                 
26   35   reserved keyword  THEN              
27   2    reserved keyword  WRITE             
27   8    delimiter         (                 
27   9    string            "and these two complex numbers are not equal!"
27   55   delimiter         )                 
27   56   delimiter         ;                 
28   5    reserved keyword  ELSE              
29   2    reserved keyword  WRITE             
29   8    delimiter         (                 
29   9    string            "and these two complex numbers are equal?"
29   51   delimiter         )                 
29   52   delimiter         ;                 
30   5    reserved keyword  END               
30   8    delimiter         ;                 
31   1    reserved keyword  END               
31   4    delimiter         ;                 
The number of tokens are 225
The number of errors are 0
